Probability,Images,Name
60.02,"['Joao_Felix_0_1482.jpg', 'Kylian_Mbappe_0_8925.jpg']","['Joao Felix', 'Kylian Mbappe']"
64.19,"['Jan_Oblak_0_5745.jpg', 'sterling12.jpg']","['Jan Oblak', 'Raheem Sterling']"
55.59,"['Jurgen_Klopp_0_4366.jpg', 'firmino12.jpg']","['Jurgen Klopp', 'Roberto Firmino']"
59.79,"['Jurgen_Klopp_0_4077.jpg', 'Toni_Kroos_0_8003.jpg']","['Jurgen Klopp', 'Toni Kroos']"
55.6,"['ronaldinho12.jpg', 'courtois1.jpg']","['Ronaldinho', 'Thibaut Courtois']"
70.89,"['David_Silva_0_3894.jpg', 'Giorgio_Chiellini_0_2030.jpg']","['David Silva', 'Giorgio Chiellini']"
68.13,"['Javier_Mascherano_0_2141.jpg', 'Jan_Oblak_0_7501.jpg']","['Javier Mascherano', 'Jan Oblak']"
45.65,"['Bernd_Leno_0_71.jpg', 'Thomas_Lemar_0_3311.jpg']","['Bernd Leno', 'Thomas Lemar']"
71.83,"['Eden_Hazard_0_8385.jpg', 'Christian_Eriksen_0_4998.jpg']","['Eden Hazard', 'Christian Eriksen']"
76.02,"['Toni_Kroos_0_5340.jpg', 'Marco_Reus_0_4468.jpg']","['Toni Kroos', 'Marco Reus']"
63.56,"['Oliver_Kahn_0_4754.jpg', 'Luis_Figo_0_1616.jpg']","['Oliver Kahn', 'Luis Figo']"
62.58,"['Ronaldo_0_7250.jpg', 'Peter_Schmeichel_0_125.jpg']","['Ronaldo', 'Peter Schmeichel']"
70.71,"['Fernando_Torres_0_5513.jpg', 'Sadio_Mane_0_8500.jpg']","['Fernando Torres', 'Sadio Mane']"
63.36,"['Raul_0_5561.jpg', 'messi12.jpg']","['Raul', 'Lionel Messi']"
57.68,"['Thomas_Muller_0_179.jpg', 'Pep_Guardiola_0_8409.jpg']","['Thomas Muller', 'Pep Guardiola']"
64.45,"['John_Terry_0_1038.jpg', 'Georginio_Wijnaldum_0_5900.jpg']","['John Terry', 'Georginio Wijnaldum']"
62.01,"['Raul_0_8159.jpg', 'Ryan_Giggs_0_7738.jpg']","['Raul', 'Ryan Giggs']"
56.72,"['Oliver_Kahn_0_3942.jpg', 'Vincent_Kompany_0_4187.jpg']","['Oliver Kahn', 'Vincent Kompany']"
49.99,"['Gerard_Pique_0_5806.jpg', 'coutinho12.jpg']","['Gerard Pique', 'Philippe Coutinho']"
46.87,"['muller12.jpg', 'Raheem_Sterling_0_6930.jpg']","['Thomas Muller', 'Raheem Sterling']"
80.77,"['Gerard_Pique_0_2088.jpg', 'Sergio_Augero_0_9130.jpg']","['Gerard Pique', 'Sergio Augero']"
72.01,"['torres12.jpg', 'Robbie_Fowler_0_6438.jpg']","['Fernando Torres', 'Robbie Fowler']"
71.76,"['Thiago_Silva_0_6070.jpg', 'Paulo_Dybala_0_7840.jpg']","['Thiago Silva', 'Paulo Dybala']"
72.25,"['luiz12.jpg', 'Roberto_Carlos_0_8154.jpg']","['David Luiz', 'Roberto Carlos']"
75.79,"['Giorgio_Chiellini_0_8604.jpg', 'Hugo_Lloris_0_2944.jpg']","['Giorgio Chiellini', 'Hugo Lloris']"
80.32,"['Luka_Modric_0_5431.jpg', 'schmeichel12.jpg']","['Luka Modric', 'Peter Schmeichel']"
58.21,"['Joao_Felix_0_2319.jpg', 'Thomas_Lemar_0_4954.jpg']","['Joao Felix', 'Thomas Lemar']"
72.41,"['Javier_Mascherano_0_9666.jpg', 'Pierre_Emerick_Aubameyang_0_7702.jpg']","['Javier Mascherano', 'Pierre Emerick Aubameyang']"
68.17,"['Frank_Lampard_0_8754.jpg', 'Manuel_Neuer_0_9156.jpg']","['Frank Lampard', 'Manuel Neuer']"
76.31,"['Gerard_Pique_0_8464.jpg', 'Pep_Guardiola_0_3356.jpg']","['Gerard Pique', 'Pep Guardiola']"
