Probability,Images,Name
81.87,"['Georginio_Wijnaldum_0_8266.jpg', 'Georginio_Wijnaldum_0_6501.jpg']",Georginio Wijnaldum
90.87,"['figo12.jpg', 'Luis_Figo_0_2402.jpg']",Luis Figo
92.93,"['Antoine_Griezmann_0_8255.jpg', 'Antoine_Griezmann_0_8601.jpg']",Antoine Griezmann
71.03,"['Oliver_Giroud_0_4493.jpg', 'Oliver_Giroud_0_6753.jpg']",Oliver Giroud
93.07,"['Luis_Figo_0_3136.jpg', 'Luis_Figo_0_716.jpg']",Luis Figo
95.04,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_4458.jpg']",Robert Lewandowski
68.34,"['Luka_Modric_0_8062.jpg', 'modric12.jpg']",Luka Modric
77.62,"['Sadio_Mane_0_8500.jpg', 'Sadio_Mane_0_8440.jpg']",Sadio Mane
94.79,"['Leroy_Sane_0_5350.jpg', 'Leroy_Sane_0_2355.jpg']",Leroy Sane
95.28,"['Iker_Casillas_0_3372.jpg', 'Iker_Casillas_0_9222.jpg']",Iker Casillas
66.6,"['Christian_Eriksen_0_5959.jpg', 'Christian_Eriksen_0_379.jpg']",Christian Eriksen
86.54,"['Paul_Pogba_0_8169.jpg', 'Paul_Pogba_0_3851.jpg']",Paul Pogba
93.21,"['Ronaldinho_0_8893.jpg', 'Ronaldinho_0_7731.jpg']",Ronaldinho
76.05,"['Sadio_Mane_0_8595.jpg', 'Sadio_Mane_0_7980.jpg']",Sadio Mane
96.11,"['Leroy_Sane_0_9821.jpg', 'Leroy_Sane_0_5350.jpg']",Leroy Sane
95.16,"['muller12.jpg', 'Thomas_Muller_0_2950.jpg']",Thomas Muller
98.49,"['ibrahimovic12.jpg', 'Zlatan_Ibrahimovic_0_4904.jpg']",Zlatan Ibrahimovic
68.29,"['Lionel_Messi_0_9978.jpg', 'Lionel_Messi_0_4624.jpg']",Lionel Messi
93.93,"['Eden_Hazard_0_9971.jpg', 'hazard1.jpg']",Eden Hazard
92.08,"['lemar12.jpg', 'Thomas_Lemar_0_8050.jpg']",Thomas Lemar
93.93,"['Didier_Drogba_0_3613.jpg', 'Didier_Drogba_0_1836.jpg']",Didier Drogba
92.9,"['Julian_Draxler_0_7446.jpg', 'Julian_Draxler_0_8401.jpg']",Julian Draxler
93.39,"['Heung_Min_Son_0_3713.jpg', 'Heung_Min_Son_0_4321.jpg']",Heung Min Son
92.22,"['Luis_Figo_0_716.jpg', 'Luis_Figo_0_3477.jpg']",Luis Figo
89.93,"['Kai_Havertz_0_3367.jpg', 'Kai_Havertz_0_3359.jpg']",Kai Havertz
72.72,"['Pep_Guardiola_0_5669.jpg', 'Pep_Guardiola_0_4888.jpg']",Pep Guardiola
85.56,"['Michael_Owen_0_5232.jpg', 'Michael_Owen_0_8695.jpg']",Michael Owen
83.19,"['Robert_Pires_0_1695.jpg', 'Robert_Pires_0_8454.jpg']",Robert Pires
79.26,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_1894.jpg']",Robert Lewandowski
86.81,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_2427.jpg']",Roberto Firmino
93.07,"['Alisson_Becker_0_5821.jpg', 'Alisson_Becker_0_65.jpg']",Alisson Becker
91.66,"['Thomas_Tuchel_0_7135.jpg', 'Thomas_Tuchel_0_9753.jpg']",Thomas Tuchel
85.76,"['Luis Suarez_0_1867.jpg', 'Luis Suarez_0_9009.jpg']",Luis Suarez
88.96,"['Heung_Min_Son_0_9308.jpg', 'Heung_Min_Son_0_9709.jpg']",Heung Min Son
95.83,"['Raheem_Sterling_0_1968.jpg', 'Raheem_Sterling_0_3071.jpg']",Raheem Sterling
82.72,"['Bernd_Leno_0_4446.jpg', 'leno12.jpg']",Bernd Leno
72.68,"['Petr_Cech_0_3994.jpg', 'Petr_Cech_0_9036.jpg']",Petr Cech
93.42,"['Mohammad_Salah_0_3177.jpg', 'Mohammad_Salah_0_6323.jpg']",Mohammad Salah
90.84,"['Gerard_Pique_0_5806.jpg', 'Gerard_Pique_0_4500.jpg']",Gerard Pique
92.86,"['Paulo_Dybala_0_6776.jpg', 'Paulo_Dybala_0_3969.jpg']",Paulo Dybala
80.97,"['Iker_Casillas_0_9828.jpg', 'Iker_Casillas_0_7371.jpg']",Iker Casillas
89.16,"['Falcao_0_6430.jpg', 'Falcao_0_8105.jpg']",Falcao
64.52,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_7347.jpg']",Roberto Firmino
97.84,"['Marco_Reus_0_6111.jpg', 'Marco_Reus_0_4468.jpg']",Marco Reus
68.45,"['Raul_0_9473.jpg', 'Raul_0_8159.jpg']",Raul
69.29,"['Ederson_Moraes_0_797.jpg', 'Ederson_Moraes_0_2933.jpg']",Ederson Moraes
68.45,"['Raul_0_8159.jpg', 'Raul_0_9473.jpg']",Raul
83.59,"['Michael_Owen_0_2365.jpg', 'Michael_Owen_0_5616.jpg']",Michael Owen
82.11,"['David_Beckham_0_1965.jpg', 'David_Beckham_0_6207.jpg']",David Beckham
85.87,"['Mohammad_Salah_0_6375.jpg', 'Mohammad_Salah_0_3177.jpg']",Mohammad Salah
76.49,"['Manuel_Neuer_0_3017.jpg', 'Manuel_Neuer_0_3790.jpg']",Manuel Neuer
77.21,"['Luis Suarez_0_1028.jpg', 'Luis Suarez_0_9858.jpg']",Luis Suarez
92.82,"['Roberto_Carlos_0_3414.jpg', 'Roberto_Carlos_0_417.jpg']",Roberto Carlos
71.24,"['Zinedine_Zidane_0_1985.jpg', 'Zinedine_Zidane_0_9203.jpg']",Zinedine Zidane
97.02,"['Manuel_Neuer_0_7078.jpg', 'Manuel_Neuer_0_6214.jpg']",Manuel Neuer
90.57,"['Gareth_Bale_0_3038.jpg', 'Gareth_Bale_0_2816.jpg']",Gareth Bale
95.8,"['Ronaldinho_0_9051.jpg', 'ronaldinho12.jpg']",Ronaldinho
70.89,"['David_Silva_0_9044.jpg', 'David_Silva_0_4220.jpg']",David Silva
90.74,"['Iker_Casillas_0_3438.jpg', 'Iker_Casillas_0_396.jpg']",Iker Casillas
78.99,"['Karim_Benzema_0_7446.jpg', 'Karim_Benzema_0_9148.jpg']",Karim Benzema
93.18,"['depay1.jpg', 'Memphis_Depay_0_3520.jpg']",Memphis Depay
83.24,"['leno12.jpg', 'Bernd_Leno_0_9460.jpg']",Bernd Leno
69.34,"['Christian_Eriksen_0_379.jpg', 'Christian_Eriksen_0_4998.jpg']",Christian Eriksen
78.71,"['Joao_Felix_0_9697.jpg', 'felix12.jpg']",Joao Felix
74.01,"['Jan_Oblak_0_8894.jpg', 'Jan_Oblak_0_4549.jpg']",Jan Oblak
94.62,"['Eden_Hazard_0_7562.jpg', 'Eden_Hazard_0_1976.jpg']",Eden Hazard
91.55,"['Alexis_Sanchez_0_4907.jpg', 'Alexis_Sanchez_0_8370.jpg']",Alexis Sanchez
88.17,"['Hugo_Lloris_0_8605.jpg', 'Hugo_Lloris_0_975.jpg']",Hugo Lloris
96.35,"['Alisson_Becker_0_6468.jpg', 'Alisson_Becker_0_9148.jpg']",Alisson Becker
87.94,"['Toni_Kroos_0_4633.jpg', 'Toni_Kroos_0_9021.jpg']",Toni Kroos
56.92,"['Robbie_Fowler_0_8000.jpg', 'Robbie_Fowler_0_2561.jpg']",Robbie Fowler
79.0,"['lukaku1.jpg', 'Romelu_Lukaku_0_2080.jpg']",Romelu Lukaku
87.55,"['Oliver_Kahn_0_2530.jpg', 'Oliver_Kahn_0_4754.jpg']",Oliver Kahn
94.95,"['benzema12.jpg', 'Karim_Benzema_0_1177.jpg']",Karim Benzema
91.5,"['schmeichel1.jpg', 'Peter_Schmeichel_0_3231.jpg']",Peter Schmeichel
95.43,"['Julian_Draxler_0_8965.jpg', 'Julian_Draxler_0_1399.jpg']",Julian Draxler
78.5,"['Roberto_Firmino_0_5923.jpg', 'Roberto_Firmino_0_4164.jpg']",Roberto Firmino
91.77,"['gerrard1.jpg', 'Steven_Gerrard_0_1460.jpg']",Steven Gerrard
85.64,"['Eden_Hazard_0_5971.jpg', 'Eden_Hazard_0_3860.jpg']",Eden Hazard
96.07,"['Raheem_Sterling_0_5930.jpg', 'Raheem_Sterling_0_3968.jpg']",Raheem Sterling
96.59,"['Thierry_Henry_0_2165.jpg', 'Thierry_Henry_0_5016.jpg']",Thierry Henry
94.51,"['Timo_Werner_0_7096.jpg', 'Timo_Werner_0_2842.jpg']",Timo Werner
96.81,"['Paulo_Dybala_0_5847.jpg', 'Paulo_Dybala_0_7981.jpg']",Paulo Dybala
72.69,"['Vincent_Kompany_0_1535.jpg', 'Vincent_Kompany_0_2933.jpg']",Vincent Kompany
63.64,"['Robbie_Fowler_0_3189.jpg', 'Robbie_Fowler_0_8719.jpg']",Robbie Fowler
89.53,"['Hugo_Lloris_0_975.jpg', 'Hugo_Lloris_0_2454.jpg']",Hugo Lloris
84.15,"['Alexandre_Lacazette_0_3554.jpg', 'Alexandre_Lacazette_0_3900.jpg']",Alexandre Lacazette
95.45,"['Toni_Kroos_0_9789.jpg', 'Toni_Kroos_0_3432.jpg']",Toni Kroos
68.41,"['Christian_Eriksen_0_4998.jpg', 'Christian_Eriksen_0_8530.jpg']",Christian Eriksen
79.35,"['Dries_Mertens_0_3636.jpg', 'Dries_Mertens_0_6916.jpg']",Dries Mertens
79.05,"['Eden_Hazard_0_9971.jpg', 'Eden_Hazard_0_4862.jpg']",Eden Hazard
78.23,"['Ryan_Giggs_0_9263.jpg', 'Ryan_Giggs_0_2137.jpg']",Ryan Giggs
84.8,"['Mario_Gotze_0_2792.jpg', 'gotze12.jpg']",Mario Gotze
76.85,"['Marc-Andre_ter_Stegen_0_9205.jpg', 'Marc-Andre_ter_Stegen_0_7359.jpg']",Marc-Andre ter Stegen
82.12,"['Gabriel_Jesus_0_7388.jpg', 'Gabriel_Jesus_0_4686.jpg']",Gabriel Jesus
86.23,"['Kylian_Mbappe_0_3582.jpg', 'Kylian_Mbappe_0_3850.jpg']",Kylian Mbappe
59.71,"['Zinedine_Zidane_0_8612.jpg', 'zidane1.jpg']",Zinedine Zidane
86.81,"['Zlatan_Ibrahimovic_0_4819.jpg', 'Zlatan_Ibrahimovic_0_9800.jpg']",Zlatan Ibrahimovic
77.57,"['Angel_di_Maria_0_2237.jpg', 'Angel_di_Maria_0_8593.jpg']",Angel di Maria
97.12,"['Carles_Puyol_0_4959.jpg', 'puyol12.jpg']",Carles Puyol
93.96,"['Romelu_Lukaku_0_9764.jpg', 'Romelu_Lukaku_0_1127.jpg']",Romelu Lukaku
82.09,"['Marco_Reus_0_7025.jpg', 'reus12.jpg']",Marco Reus
87.8,"['Heung_Min_Son_0_9308.jpg', 'Heung_Min_Son_0_3943.jpg']",Heung Min Son
88.66,"['Julian_Draxler_0_1445.jpg', 'Julian_Draxler_0_5856.jpg']",Julian Draxler
85.72,"['Heung_Min_Son_0_4321.jpg', 'Heung_Min_Son_0_7925.jpg']",Heung Min Son
93.95,"['sanchez1.jpg', 'Alexis_Sanchez_0_2159.jpg']",Alexis Sanchez
92.51,"['Bernd_Leno_0_1180.jpg', 'Bernd_Leno_0_9460.jpg']",Bernd Leno
97.15,"['Kevin_de_Bruyne_0_2179.jpg', 'Kevin_de_Bruyne_0_6088.jpg']",Kevin de Bruyne
77.44,"['Robert_Lewandowski_0_1303.jpg', 'Robert_Lewandowski_0_6670.jpg']",Robert Lewandowski
88.78,"['Bernd_Leno_0_2379.jpg', 'Bernd_Leno_0_4805.jpg']",Bernd Leno
85.26,"['John_Terry_0_7896.jpg', 'John_Terry_0_8682.jpg']",John Terry
68.92,"['firmino1.jpg', 'Roberto_Firmino_0_7347.jpg']",Roberto Firmino
70.11,"['Wayne_Rooney_0_6122.jpg', 'Wayne_Rooney_0_738.jpg']",Wayne Rooney
89.33,"['Harry_Kewell_0_2016.jpg', 'Harry_Kewell_0_1088.jpg']",Harry Kewell
97.26,"['Jose_Mourinho_0_7370.jpg', 'Jose_Mourinho_0_5903.jpg']",Jose Mourinho
90.53,"['Gareth_Bale_0_1226.jpg', 'Gareth_Bale_0_7975.jpg']",Gareth Bale
83.77,"['Carles_Puyol_0_1494.jpg', 'Carles_Puyol_0_7505.jpg']",Carles Puyol
79.53,"['Kai_Havertz_0_5001.jpg', 'Kai_Havertz_0_6733.jpg']",Kai Havertz
86.92,"['Michael_Ballack_0_5855.jpg', 'Michael_Ballack_0_3587.jpg']",Michael Ballack
95.42,"['salah1.jpg', 'Mohammad_Salah_0_3818.jpg']",Mohammad Salah
66.32,"['Xabi_Alonso_0_2840.jpg', 'Xabi_Alonso_0_4538.jpg']",Xabi Alonso
93.17,"['Ryan_Giggs_0_557.jpg', 'giggs12.jpg']",Ryan Giggs
78.32,"['Dries_Mertens_0_1961.jpg', 'Dries_Mertens_0_8570.jpg']",Dries Mertens
85.18,"['Eden_Hazard_0_898.jpg', 'Eden_Hazard_0_3860.jpg']",Eden Hazard
90.64,"['Robbie_Fowler_0_5564.jpg', 'Robbie_Fowler_0_8176.jpg']",Robbie Fowler
85.04,"['Gianluigi_Buffon_0_9854.jpg', 'Gianluigi_Buffon_0_4886.jpg']",Gianluigi Buffon
80.0,"['Harry_Kane_0_7134.jpg', 'Harry_Kane_0_6863.jpg']",Harry Kane
79.4,"['Robert_Pires_0_8454.jpg', 'Robert_Pires_0_6809.jpg']",Robert Pires
83.66,"['Bernando_Silva_0_750.jpg', 'Bernando_Silva_0_262.jpg']",Bernando Silva
96.71,"['Lorenzo_Insigne_0_8845.jpg', 'Lorenzo_Insigne_0_1120.jpg']",Lorenzo Insigne
91.88,"['Michael_Owen_0_3742.jpg', 'Michael_Owen_0_403.jpg']",Michael Owen
65.81,"['Xabi_Alonso_0_9665.jpg', 'Xabi_Alonso_0_3791.jpg']",Xabi Alonso
96.82,"['Lucas_Moura_0_3969.jpg', 'Lucas_Moura_0_5736.jpg']",Lucas Moura
82.49,"['Ronaldo_0_1957.jpg', 'Ronaldo_0_264.jpg']",Ronaldo
83.25,"['Petr_Cech_0_15.jpg', 'cech1.jpg']",Petr Cech
76.11,"['Ryan_Giggs_0_7738.jpg', 'Ryan_Giggs_0_4826.jpg']",Ryan Giggs
89.88,"['Javier_Mascherano_0_2617.jpg', 'Javier_Mascherano_0_8823.jpg']",Javier Mascherano
80.0,"['Lucas_Moura_0_1082.jpg', 'Lucas_Moura_0_7989.jpg']",Lucas Moura
72.13,"['Raul_0_4483.jpg', 'raul1.jpg']",Raul
72.39,"['Kaka_0_1513.jpg', 'Kaka_0_1422.jpg']",Kaka
91.31,"['Xabi_Alonso_0_7846.jpg', 'Xabi_Alonso_0_5231.jpg']",Xabi Alonso
74.56,"['Pierre_Emerick_Aubameyang_0_6108.jpg', 'Pierre_Emerick_Aubameyang_0_5836.jpg']",Pierre Emerick Aubameyang
74.9,"['Sadio_Mane_0_4084.jpg', 'mane1.jpg']",Sadio Mane
75.65,"['muller1.jpg', 'Thomas_Muller_0_3819.jpg']",Thomas Muller
93.37,"['Karim_Benzema_0_5139.jpg', 'Karim_Benzema_0_584.jpg']",Karim Benzema
