Probability,Images,Name
77.62,"['Georginio_Wijnaldum_0_8266.jpg', 'Georginio_Wijnaldum_0_6501.jpg']",Georginio Wijnaldum
86.46,"['figo12.jpg', 'Luis_Figo_0_2402.jpg']",Luis Figo
92.06,"['Antoine_Griezmann_0_8255.jpg', 'Antoine_Griezmann_0_8601.jpg']",Antoine Griezmann
60.56,"['Oliver_Giroud_0_4493.jpg', 'Oliver_Giroud_0_6753.jpg']",Oliver Giroud
82.6,"['Luis_Figo_0_3136.jpg', 'Luis_Figo_0_716.jpg']",Luis Figo
95.2,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_4458.jpg']",Robert Lewandowski
54.92,"['Luka_Modric_0_8062.jpg', 'modric12.jpg']",Luka Modric
67.69,"['Sadio_Mane_0_8500.jpg', 'Sadio_Mane_0_8440.jpg']",Sadio Mane
88.5,"['Leroy_Sane_0_5350.jpg', 'Leroy_Sane_0_2355.jpg']",Leroy Sane
93.54,"['Iker_Casillas_0_3372.jpg', 'Iker_Casillas_0_9222.jpg']",Iker Casillas
44.96,"['Christian_Eriksen_0_5959.jpg', 'Christian_Eriksen_0_379.jpg']",Christian Eriksen
75.16,"['Paul_Pogba_0_8169.jpg', 'Paul_Pogba_0_3851.jpg']",Paul Pogba
88.31,"['Ronaldinho_0_8893.jpg', 'Ronaldinho_0_7731.jpg']",Ronaldinho
60.53,"['Sadio_Mane_0_8595.jpg', 'Sadio_Mane_0_7980.jpg']",Sadio Mane
94.19,"['Leroy_Sane_0_9821.jpg', 'Leroy_Sane_0_5350.jpg']",Leroy Sane
94.27,"['muller12.jpg', 'Thomas_Muller_0_2950.jpg']",Thomas Muller
96.59,"['ibrahimovic12.jpg', 'Zlatan_Ibrahimovic_0_4904.jpg']",Zlatan Ibrahimovic
56.0,"['Lionel_Messi_0_9978.jpg', 'Lionel_Messi_0_4624.jpg']",Lionel Messi
90.49,"['Eden_Hazard_0_9971.jpg', 'hazard1.jpg']",Eden Hazard
83.57,"['lemar12.jpg', 'Thomas_Lemar_0_8050.jpg']",Thomas Lemar
86.48,"['Didier_Drogba_0_3613.jpg', 'Didier_Drogba_0_1836.jpg']",Didier Drogba
86.67,"['Julian_Draxler_0_7446.jpg', 'Julian_Draxler_0_8401.jpg']",Julian Draxler
91.76,"['Heung_Min_Son_0_3713.jpg', 'Heung_Min_Son_0_4321.jpg']",Heung Min Son
85.94,"['Luis_Figo_0_716.jpg', 'Luis_Figo_0_3477.jpg']",Luis Figo
83.43,"['Kai_Havertz_0_3367.jpg', 'Kai_Havertz_0_3359.jpg']",Kai Havertz
71.58,"['Pep_Guardiola_0_5669.jpg', 'Pep_Guardiola_0_4888.jpg']",Pep Guardiola
78.33,"['Michael_Owen_0_5232.jpg', 'Michael_Owen_0_8695.jpg']",Michael Owen
74.64,"['Robert_Pires_0_1695.jpg', 'Robert_Pires_0_8454.jpg']",Robert Pires
66.39,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_1894.jpg']",Robert Lewandowski
83.34,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_2427.jpg']",Roberto Firmino
92.83,"['Alisson_Becker_0_5821.jpg', 'Alisson_Becker_0_65.jpg']",Alisson Becker
86.32,"['Thomas_Tuchel_0_7135.jpg', 'Thomas_Tuchel_0_9753.jpg']",Thomas Tuchel
79.05,"['Luis Suarez_0_1867.jpg', 'Luis Suarez_0_9009.jpg']",Luis Suarez
81.43,"['Heung_Min_Son_0_9308.jpg', 'Heung_Min_Son_0_9709.jpg']",Heung Min Son
94.89,"['Raheem_Sterling_0_1968.jpg', 'Raheem_Sterling_0_3071.jpg']",Raheem Sterling
61.41,"['Bernd_Leno_0_4446.jpg', 'leno12.jpg']",Bernd Leno
58.11,"['Petr_Cech_0_3994.jpg', 'Petr_Cech_0_9036.jpg']",Petr Cech
92.26,"['Mohammad_Salah_0_3177.jpg', 'Mohammad_Salah_0_6323.jpg']",Mohammad Salah
89.15,"['Gerard_Pique_0_5806.jpg', 'Gerard_Pique_0_4500.jpg']",Gerard Pique
90.77,"['Paulo_Dybala_0_6776.jpg', 'Paulo_Dybala_0_3969.jpg']",Paulo Dybala
65.17,"['Iker_Casillas_0_9828.jpg', 'Iker_Casillas_0_7371.jpg']",Iker Casillas
83.51,"['Falcao_0_6430.jpg', 'Falcao_0_8105.jpg']",Falcao
59.39,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_7347.jpg']",Roberto Firmino
96.56,"['Marco_Reus_0_6111.jpg', 'Marco_Reus_0_4468.jpg']",Marco Reus
52.06,"['Raul_0_9473.jpg', 'Raul_0_8159.jpg']",Raul
52.26,"['Ederson_Moraes_0_797.jpg', 'Ederson_Moraes_0_2933.jpg']",Ederson Moraes
52.06,"['Raul_0_8159.jpg', 'Raul_0_9473.jpg']",Raul
75.06,"['Michael_Owen_0_2365.jpg', 'Michael_Owen_0_5616.jpg']",Michael Owen
73.61,"['David_Beckham_0_1965.jpg', 'David_Beckham_0_6207.jpg']",David Beckham
78.14,"['Mohammad_Salah_0_6375.jpg', 'Mohammad_Salah_0_3177.jpg']",Mohammad Salah
61.03,"['Manuel_Neuer_0_3017.jpg', 'Manuel_Neuer_0_3790.jpg']",Manuel Neuer
68.74,"['Luis Suarez_0_1028.jpg', 'Luis Suarez_0_9858.jpg']",Luis Suarez
88.59,"['Roberto_Carlos_0_3414.jpg', 'Roberto_Carlos_0_417.jpg']",Roberto Carlos
65.98,"['Zinedine_Zidane_0_1985.jpg', 'Zinedine_Zidane_0_9203.jpg']",Zinedine Zidane
94.63,"['Manuel_Neuer_0_7078.jpg', 'Manuel_Neuer_0_6214.jpg']",Manuel Neuer
87.37,"['Gareth_Bale_0_3038.jpg', 'Gareth_Bale_0_2816.jpg']",Gareth Bale
